feature,lower,upper
 ROA(C) before interest and depreciation before interest,0.38836347681957883,0.6223614293374927
 Operating Gross Margin,0.5804584240187955,0.6338319232044276
 Operating Profit Rate,0.9987842120892441,0.9992773676493183
 Non-industry income and expenditure/revenue,0.30329418697199345,0.3037563152904295
 Operating Expense Rate,-6187499999.999608,10312499999.999763
 Research and development expense rate,-5114999999.999677,8524999999.999806
 Cash flow rate,0.44748119070984577,0.4849739563674798
 Interest-bearing debt interest rate,-0.00029552955295524984,0.00103660366036595
 Tax rate (A),-0.3067112055876105,0.5111853426460176
 Net Value Per Share (B),0.13505541275125293,0.23753739833972504
 Persistent EPS in the Last Four Seasons,0.17972960196653054,0.2727616526425265
 Cash Flow Per Share,0.3015844945886694,0.34459220485251363
 Revenue Per Share (Yuan ¥),-0.030052785214090254,0.09167082596004056
 Operating Profit Per Share (Yuan ¥),0.06664766712808348,0.1451429036723403
 Realized Sales Gross Profit Growth Rate,0.02193217810921095,0.02228569268969615
 Operating Profit Growth Rate,0.8477747746781186,0.8483307857335929
 After-tax Net Profit Growth Rate,0.6887090019618269,0.6902066282195896
 Continuous Net Profit Growth Rate,0.2175170065831895,0.2176838209941535
 Total Asset Growth Rate,1155000000.0,11115000000.0
 Net Value Growth Rate,0.000353029644158975,0.0005864030259483751
 Cash Reinvestment %,0.3571401959688535,0.4041578182631055
 Current Ratio,-0.005787189431546226,0.029702247418884775
 Quick Ratio,-0.006719541302603977,0.023665231001875425
 Interest Expense Ratio,0.6298401734222806,0.6318990493280924
 Total debt/Total net worth,-0.006404399091729901,0.0186952279338677
 Debt ratio %,-0.04125978776793525,0.26306043474317475
 Long-term fund suitability ratio (A),0.0028781466002296505,0.00918580057058205
 Borrowing dependency,0.3609827481698018,0.38543905717730365
 Contingent liabilities/Net worth,0.004765343180267001,0.006366688602905398
 Inventory and accounts receivable/Net value,0.38676896344297995,0.4151898454361681
 Total Asset Turnover,-0.07046476761619173,0.3253373313343326
 Accounts Receivable Turnover,-0.0003971675813863502,0.0025610461282500503
 Average Collection Days,-0.002448157050939926,0.015774260621560277
 Inventory Turnover Rate (times),-6929999999.999574,11549999999.999744
 Fixed Assets Turnover Frequency,-0.005023523297483125,0.008995892973724676
 Net Worth Turnover Rate (times),-0.010161290322580705,0.07500000000000011
 Revenue per person,-0.027475287516707518,0.07343683445206586
 Operating profit per person,0.3785786164944255,0.41546154541959746
 Allocation rate per person,-0.011835271125053021,0.030720566183378772
 Working Capital to Total Assets,0.6577980739514395,0.9668008501798757
 Quick Assets/Total Assets,-0.2097014709348287,0.9907124921611051
 Current Assets/Total Assets,-0.15293570590158234,1.1958575310822175
 Cash/Total Assets,-0.15617699164146376,0.3506585787570975
 Quick Assets/Current Liability,-0.006490399715786675,0.024705356163925125
 Cash/Current Liability,-0.014209002756577927,0.02896661317716428
 Current Liability to Assets,-0.045959598443319136,0.2184405104690963
 Operating Funds to Liability,0.3114696166663627,0.3901835472145088
 Inventory/Working Capital,0.27643656820141427,0.2780338786487082
 Inventory/Current Liability,-0.008707263877382822,0.023085717728156572
 Current Liabilities/Liability,0.15565908355015806,1.414939910086362
 Working Capital/Equity,0.726012558140876,0.7461624402696522
 Current Liabilities/Equity,0.32178073238081795,0.3386321737846141
 Long-term Liability to Current Assets,-0.013428881733472876,0.022381469555788125
 Retained Earnings to Total Assets,0.9101967741471773,0.9652501045479831
 Total income/Total expense,0.0018597880822391753,0.0028611808683721746
 Total expense/Assets,-0.01689352772207613,0.06760476405534768
 Current Asset Turnover Rate,-0.00029684211289747497,0.0008817297961483249
 Quick Asset Turnover Rate,-7477499999.999642,12462499999.999786
 Cash Turnover Rate,-6824999999.9993105,11374999999.999586
 Fixed Assets to Assets,-0.34533287344050034,0.8042087398930731
 Equity to Long-term Liability,0.10185439933622124,0.12606462420887926
 Cash Flow to Total Assets,0.5890343918415615,0.7070278472825173
 Cash Flow to Liability,0.44660575632054783,0.4745986752914417
 CFO to Assets,0.4784990125599089,0.711438892789757
 Cash Flow to Equity,0.3060074342850224,0.3247012857346466
 Current Liability to Current Assets,-0.013056351913357894,0.0694784657545593
 Liability-Assets Flag,0.0,0.0
 Total assets to GNP price,-0.005618080282720449,0.011766846745692748
 No-credit Interval,0.622837688608607,0.624964823301667
 Net Income to Stockholder's Equity,0.8367799558949038,0.8456387812200414
 Degree of Financial Leverage (DFL),0.026604117163744077,0.027102889240406276
 Interest Coverage Ratio (Interest expense to EBIT),0.564297734760757,0.5665928307523491
 Net Income Flag,1.0,1.0
 Equity to Liability,-0.018163481392081845,0.09547148373256495
